minimum_probability_residual,minimum_reversion_probability,minimum_reversion_probability_margin,trades,reversion_exits,settlements,fees,capital,pnl,roi
0.01,0.5,0.075,1,0,1,0.37,10.37,10.463333333333336,1.0090003214400518
0.01,0.5,0.1,1,0,1,0.37,10.37,10.463333333333336,1.0090003214400518
0.01,0.5,0.0,3,0,3,1.17,31.169999999999995,9.663333333333338,0.310020318682494
0.01,0.5,0.01,3,0,3,1.17,31.169999999999995,9.663333333333338,0.310020318682494
0.01,0.5,0.02,3,0,3,1.17,31.169999999999995,9.663333333333338,0.310020318682494
0.01,0.5,0.03,3,0,3,1.17,31.169999999999995,9.663333333333338,0.310020318682494
0.01,0.5,0.05,2,0,2,0.8200000000000001,20.82,0.013333333333337194,0.0006404098623120651
