enabled,minimum_probability_residual,minimum_reversion_probability,trailing_giveback_fraction,trailing_activation_multiple,second_target_multiple,adverse_state_probability_move,minimum_runner_contracts,trades,scaled_reversions,full_reversion_exits,runner_target_exits,runner_trailing_exits,runner_state_exits,runner_settlements,full_settlements,fees,capital,pnl,roi
False,0.03,0.9,0.5,0.25,2.0,0.05,0.1,13,13,0,0,11,1,1,0,3.9499999999999997,132.14000000000001,5.3814674288993825,0.04072549893218845
False,0.03,0.9,0.5,0.25,3.0,0.02,0.1,13,13,0,0,11,1,1,0,3.9499999999999997,132.14000000000001,5.3814674288993825,0.04072549893218845
False,0.03,0.9,0.5,0.25,3.0,0.05,0.1,13,13,0,0,11,1,1,0,3.9499999999999997,132.14000000000001,5.3814674288993825,0.04072549893218845
False,0.03,0.9,0.35,0.25,1.5,0.02,0.1,13,13,0,3,8,1,1,0,3.9499999999999997,132.14000000000001,5.3795376412180715,0.04071089481775443
False,0.03,0.9,0.35,0.25,1.5,0.05,0.1,13,13,0,3,8,1,1,0,3.9499999999999997,132.14000000000001,5.3795376412180715,0.04071089481775443
False,0.03,0.9,0.5,0.25,1.5,0.02,0.1,13,13,0,3,8,1,1,0,3.9499999999999997,132.14000000000001,5.3795376412180715,0.04071089481775443
False,0.03,0.9,0.5,0.25,1.5,0.05,0.1,13,13,0,3,8,1,1,0,3.9499999999999997,132.14000000000001,5.3795376412180715,0.04071089481775443
False,0.075,0.8,0.5,0.25,1.5,0.02,0.1,11,10,0,1,9,0,0,1,4.289999999999999,112.57,4.546469062560588,0.04038792806751877
False,0.075,0.8,0.5,0.25,1.5,0.05,0.1,11,10,0,1,9,0,0,1,4.289999999999999,112.57,4.546469062560588,0.04038792806751877
False,0.075,0.8,0.5,0.25,2.0,0.02,0.1,11,10,0,0,10,0,0,1,4.289999999999999,112.57,4.546469062560588,0.04038792806751877
False,0.075,0.8,0.5,0.25,2.0,0.05,0.1,11,10,0,0,10,0,0,1,4.289999999999999,112.57,4.546469062560588,0.04038792806751877
