dataset_version,atomic_play_input,game_pk,game_date,home_win,trigger_at_bat,trigger_pitch,trigger_time,signal_time,next_update_time,market_home_price,market_logit,local_fair_after,local_fair_before,fair_logit_move,market_logit_move,anchored_state_target,market_target_residual,anchor_age_seconds,observation_delay_seconds,inning_after,inning_topbot_after,outs_when_up_after,score_diff_after,balls_after,strikes_after,runner_on_first_after,runner_on_second_after,runner_on_third_after,delta_inning,delta_outs,delta_score_diff,delta_balls,delta_strikes,delta_runner_on_first,delta_runner_on_second,delta_runner_on_third,pre_trade_count_2s,pre_volume_2s,pre_flow_imbalance_2s,pre_price_volatility_2s,future_market_price,future_market_seconds,future_logit_move,fair_probability,model_side,side,execution_contract,fill_time,fill_price,contracts,entry_fee,predicted_expected_pnl,pnl,exit_reason,exit_time,exit_price,exit_fee,evaluation_fold
1,True,823231,2026-04-22,1,51,2,2026-04-23 03:24:11.368000+00:00,2026-04-23 03:24:12.526287+00:00,2026-04-23 03:24:52.022000+00:00,0.63,0.5322168137473082,0.5055047346910997,0.40523395248101846,0.40572339846022604,0.0,0.718683402172349,-0.08868340217234905,1.575727,1.158287,7.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0,7.0,97.0,1.0,0.0,0.64,4.802419,0.04314733115625369,0.6678887696005624,yes,yes,home_yes,2026-04-23 03:24:17.328706+00:00,0.64,0.93,0.014999999999999902,0.010936555728523142,0.3198000000000001,,,,,april
1,True,823237,2026-04-06,0,57,2,2026-04-07 03:33:25.682000+00:00,2026-04-07 03:33:27.268687+00:00,2026-04-07 03:33:53.615000+00:00,0.37,-0.5322168137473082,0.1896037943519292,0.4566778267857353,-1.2788623720722727,-0.25036566160632034,0.1735442847806777,0.19645571521932229,3.339183,1.586687,7.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,-2.0,-1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.38,4.331577,0.04266858842860244,0.33563199063567456,no,away_yes,away_yes,2026-04-07 03:33:32.185675+00:00,0.64,3.81,0.061499999999999666,0.03134211567808,1.3101000000000003,,,,,april
1,True,823238,2026-04-05,0,25,2,2026-04-05 20:53:52.622000+00:00,2026-04-05 20:53:54.214931+00:00,2026-04-05 20:56:13.939000+00:00,0.36,-0.5753641449035618,0.27911706177060747,0.1852324211826465,0.5324460321836457,0.08793007250670215,0.4673345465092216,-0.10733454650922164,1.116267,1.592931,4.0,1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.36,4.823129,0.0,0.3892630035539815,yes,yes,home_yes,2026-04-05 20:53:59.038060+00:00,0.36,6.0,0.0968,0.07877802132388922,-2.2568,,,,,april
1,True,823310,2026-04-28,0,47,3,2026-04-29 03:19:26.400000+00:00,2026-04-29 03:19:28.011854+00:00,2026-04-29 03:19:57.876000+00:00,0.39,-0.4473122180436648,0.2040810680594174,0.269409230127042,-0.3633580735361135,0.0,0.30774767902139194,0.08225232097860807,0.496359,1.611854,6.0,0.0,1.0,0.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,-1.0,0.0,1.0,1.0,2.28,1.0,0.0,0.41,3.820404,0.08334684084225286,0.3645568177036647,no,away_yes,away_yes,2026-04-29 03:19:32.928128+00:00,0.61,1.0,0.016700000000000048,0.008743182296335306,0.37329999999999997,,,,,april
1,True,823312,2026-04-29,0,57,5,2026-04-29 22:12:33.290000+00:00,2026-04-29 22:12:36.334069+00:00,2026-04-29 22:15:06.097000+00:00,0.26,-1.0459685551826876,0.08148327258069143,0.14402034201989677,-0.6400703031959945,0.0,0.15629747936377864,0.10370252063622137,0.563833,3.044069,8.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,-2.0,0.0,-3.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26,4.286933,0.0,0.22915230911072673,no,away_yes,away_yes,2026-04-29 22:12:41.168672+00:00,0.75,3.05,0.04010000000000025,0.023485457212283303,0.7223999999999999,,,,,april
1,True,823319,2026-04-09,1,73,2,2026-04-10 04:36:58.907000+00:00,2026-04-10 04:37:00.496285+00:00,2026-04-10 04:37:46.573000+00:00,0.25,-1.0986122886681098,0.0011911789358237668,0.004008070845182954,-1.2161907562307999,-0.10398971352404784,0.09878364236747364,0.15121635763252636,0.036394,1.589285,10.0,0.0,1.0,-1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,1.0,-1.0,12.0,263.0,-0.8859315589353612,0.01587713240271471,0.35,4.849969,0.4795730802618863,0.21560280929671455,no,away_yes,away_yes,2026-04-10 04:37:05.236797+00:00,0.66,3.0,0.04720000000000013,0.32599157210985596,-2.0272,,,,,april
1,True,823321,2026-04-01,1,52,2,2026-04-01 22:02:21.064000+00:00,2026-04-01 22:02:22.108759+00:00,2026-04-01 22:03:58.537000+00:00,0.86,1.815289966638249,0.811915302671582,0.8922672831685552,-0.6516087684362633,0.29894247727016077,0.7036497572171477,0.15635024278285226,1.401765,1.044759,7.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.0,0.0,-1.0,1.0,0.0,-1.0,9.0,1222.0,1.0,0.019116278371205855,0.9,4.49249,0.38193461069797063,0.8355245033838491,no,away_yes,away_yes,2026-04-01 22:02:27.038892+00:00,0.11,2.0,0.013800000000000007,0.0951509932323018,-0.2338,,,,,april
1,True,823396,2026-04-16,0,63,4,2026-04-16 18:51:24.476000+00:00,2026-04-16 18:51:25.555907+00:00,2026-04-16 18:52:06.042000+00:00,0.31,-0.8001193001121131,0.14441487239371198,0.2936892439014748,-0.9015622887712555,0.0,0.1542457675015483,0.1557542324984517,0.125741,1.079907,7.0,0.0,2.0,-1.0,2.0,2.0,0.0,1.0,1.0,0.0,0.0,-1.0,1.0,0.0,-1.0,0.0,0.0,7.0,1059.38,1.0,0.007284313590846842,0.44,4.918527,0.558957243295225,0.2692000554278767,no,away_yes,away_yes,2026-04-16 18:51:30.542920+00:00,0.57,4.25,0.07299999999999995,0.6103997644315242,1.7545000000000002,,,,,april
1,True,823475,2026-04-19,0,39,5,2026-04-20 00:52:36.841000+00:00,2026-04-20 00:52:37.897947+00:00,2026-04-20 00:53:19.496000+00:00,0.23,-1.2083112059245342,0.05934263369867676,0.12954911411642878,-0.8582996914217016,0.11661420881906448,0.10126702679427438,0.12873297320572563,0.35144,1.056947,5.0,0.0,1.0,-2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,-1.0,-2.0,-2.0,-1.0,0.0,1.0,4.0,59.0,-0.3220338983050847,0.020000000000000004,0.31,4.779337,0.40819190581242115,0.19113230287917957,no,away_yes,away_yes,2026-04-20 00:52:42.743070+00:00,0.78,3.15,0.037900000000000045,0.053033245930584144,0.6551,,,,,april
1,True,823560,2026-04-16,0,48,9,2026-04-16 19:35:54.883000+00:00,2026-04-16 19:35:56.303427+00:00,2026-04-16 19:36:48.823000+00:00,0.2,-1.3862943611198906,0.07071637895380811,0.1789307346851018,-1.0521280759049987,-0.2876820724517808,0.10426205911296574,0.09573794088703427,0.730655,1.420427,6.0,0.0,2.0,-3.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,-2.0,-2.0,-2.0,0.0,0.0,-1.0,12.0,933.0,-0.4255091103965702,0.0050000000000000044,0.21,4.794832,0.061368946376291866,0.1703823831150374,no,away_yes,away_yes,2026-04-16 19:36:01.254197+00:00,0.8,3.08,0.03449999999999953,0.05672226000568516,0.5815000000000001,,,,,april
