reversion_fraction,state_exit,minimum_logit_residual,maximum_selected_entry_latency,maximum_inning,side_filter,trades,pnl,capital,roi,reversion_exits,thesis_invalidations,timeout_exits,fold_1_trades,fold_1_pnl,fold_1_roi,fold_2_trades,fold_2_pnl,fold_2_roi,fold_3_trades,fold_3_pnl,fold_3_roi,minimum_fold_trades,profitable_folds,worst_fold_roi
0.25,next_plate_appearance,0.12,7.0,6,yes,3,4.611087836894288,30.0,0.15370292789647624,2,0,0,1,3.2258064516129026,0.32258064516129026,2,1.3852813852813852,0.06926406926406926,0,0.0,0.0,0,2,0.0
0.25,next_plate_appearance,0.16,7.0,6,yes,3,4.611087836894288,30.0,0.15370292789647624,2,0,0,1,3.2258064516129026,0.32258064516129026,2,1.3852813852813852,0.06926406926406926,0,0.0,0.0,0,2,0.0
0.25,next_pitch,0.3,10.0,9,no,11,16.77162933684673,110.0,0.15246935760769753,5,0,3,6,15.989020641194555,0.2664836773532426,3,-2.2173913043478266,-0.07391304347826089,2,3.0,0.15,2,2,-0.07391304347826089
0.25,next_pitch,0.3,10.0,99,no,11,16.77162933684673,110.0,0.15246935760769753,5,0,3,6,15.989020641194555,0.2664836773532426,3,-2.2173913043478266,-0.07391304347826089,2,3.0,0.15,2,2,-0.07391304347826089
0.25,next_pitch,0.3,10.0,6,both,7,10.307861220904702,70.0,0.14725516029863858,3,0,3,3,9.525252525252528,0.3175084175084176,2,-0.21739130434782628,-0.010869565217391314,2,1.0000000000000009,0.050000000000000044,2,2,-0.010869565217391314
0.25,next_plate_appearance,0.3,10.0,6,both,7,10.197189284145807,70.0,0.1456741326306544,3,0,1,3,8.979797979797981,0.2993265993265994,2,0.21739130434782508,0.010869565217391254,2,1.0000000000000009,0.050000000000000044,2,3,0.010869565217391254
0.25,none,0.3,10.0,6,both,7,10.126043039086518,70.0,0.14465775770123598,3,0,4,3,9.343434343434346,0.31144781144781153,2,-0.21739130434782628,-0.010869565217391314,2,1.0000000000000009,0.050000000000000044,2,2,-0.010869565217391314
0.5,next_plate_appearance,0.3,10.0,9,no,13,17.83766684355514,130.0,0.1372128218735011,4,0,1,7,14.191704110635886,0.20273863015194124,3,0.21739130434782508,0.007246376811594169,3,3.428571428571429,0.1142857142857143,3,3,0.007246376811594169
0.5,next_plate_appearance,0.3,10.0,99,no,13,17.83766684355514,130.0,0.1372128218735011,4,0,1,7,14.191704110635886,0.20273863015194124,3,0.21739130434782508,0.007246376811594169,3,3.428571428571429,0.1142857142857143,3,3,0.007246376811594169
0.75,next_plate_appearance,0.3,10.0,9,no,13,17.83766684355514,130.0,0.1372128218735011,3,0,1,7,14.191704110635886,0.20273863015194124,3,0.21739130434782508,0.007246376811594169,3,3.428571428571429,0.1142857142857143,3,3,0.007246376811594169
