inning_topbot_after,delta_inning,delta_outs,delta_score_diff,delta_runner_on_first,delta_runner_on_second,delta_runner_on_third,count_reset,transitions,mean,std,median,minimum,maximum,positive_rate
1.0,0,-2,0,-1.0,-1.0,-1.0,True,203,0.024236430528637422,0.02049697533669166,0.021063492874840772,-0.0027655582145502677,0.07265872569292131,0.9507389162561576
0.0,1,-2,0,-1.0,0.0,0.0,False,198,0.02269918449031149,0.018890273013998943,0.022082577401012216,-0.0007920431639451136,0.07868786270639416,0.9444444444444444
1.0,0,-2,0,0.0,-1.0,-1.0,True,198,0.025178273851037675,0.017777980908478867,0.0242644177679614,-0.0027655582145502677,0.0740544809380922,0.9494949494949495
1.0,0,0,2,-1.0,0.0,0.0,True,194,0.14879763466838725,0.11863001194360201,0.1620558048264143,0.0,0.37188631331454397,0.7577319587628866
0.0,0,1,0,-1.0,1.0,0.0,True,188,-0.008296556915076412,0.009376896826466568,-0.0057184014485948675,-0.02396944334723372,-0.0,0.0
1.0,0,-2,0,-1.0,0.0,0.0,False,187,0.023248969860574422,0.01809849098571507,0.02058927702183669,-0.002060396851372076,0.07265872569292131,0.9518716577540107
0.0,1,-2,0,-1.0,-1.0,-1.0,True,181,0.024670470671969345,0.019057367680552433,0.022225954730169195,-0.0008031453926476972,0.07811523075371751,0.9502762430939227
1.0,0,1,1,0.0,0.0,-1.0,True,179,0.07729699167094836,0.05510953311509855,0.08596216261188516,-0.006556288801291443,0.1837332151008193,0.7988826815642458
0.0,0,1,-1,0.0,0.0,-1.0,True,172,0.08453536882683613,0.05979405807022621,0.09543403774308656,-0.006306485106262749,0.19190083292664928,0.8081395348837209
1.0,0,0,1,1.0,-1.0,0.0,True,168,0.07214445427047989,0.061590219294563535,0.06930779486043251,0.0,0.19255335390356376,0.7142857142857143
0.0,1,-2,0,0.0,-1.0,-1.0,True,162,0.02563470538831051,0.018887891598036503,0.02549272156307264,-0.0016025158087678015,0.0744743568478311,0.9320987654320988
1.0,0,0,1,0.0,0.0,0.0,False,158,0.09398130481120938,0.06057158267432925,0.11353469031748709,0.0,0.2239792504441085,0.8354430379746836
1.0,0,-1,0,-1.0,0.0,0.0,True,156,0.03895097354947458,0.023447743026802845,0.043418851459611774,0.0,0.09909105655580641,0.9935897435897436
0.0,0,0,0,-1.0,1.0,1.0,True,147,0.0,0.0,-0.0,-0.0,-0.0,0.0
